ID,ID_original,GUID,Date (GMT),URL,Post_Title,Q1,Q2,Q3_1_og,Q3_2_og,Train,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_clean,text_content,image_data_url,final_input,D2_GPT_4o_initial_labeling,D2_GPT_4o_initial_labeling_raw,D2_GPT_4o_initial_labeling_1,D2_GPT_4o_initial_labeling_2,D2_GPT_4o_initial_labeling_3,D2_GPT_4o_initial_labeling_4,D2_GPT_4o_initial_labeling_5,D2_GPT_4o_initial_labeling_6,D2_GPT_4o_initial_labeling_7,D2_GPT_4o_initial_labeling_8
57,263,ab894137-f2d8-4953-a83e-0c291ecbd686,2018-01-03 12:04:32,http://thehill.com/opinion/immigration/367067-trumps-war-on-immigration-caseworkers-needs-to-end,Trump's war on immigration caseworkers needs to end,1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",Trump's war on immigration caseworkers needs to end,,Trump's war on immigration caseworkers needs to end,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
1034,4944,6aaa9639-9df8-4e3b-9d9b-b5e038f779fd,2018-01-10 08:29:02,http://abcnews.go.com/nightline/video/deadly-california-mudslides-swallow-lives-homes-cars-52252070,"WATCH: Deadly California mudslides swallow lives, homes, cars",2,99,99,99,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","WATCH: Deadly California mudslides swallow lives, homes, cars",,"WATCH: Deadly California mudslides swallow lives, homes, cars","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0
1469,6805,fb87bca0-e228-4d11-a5f3-076654265371,2018-01-04 00:48:46,https://www.dailykos.com/stories/2018/1/3/1729585/-Washington-state-attorney-general-sues-Motel-6-for-helping-ICE,Washington state sues Motel 6 for sharing guests' information with border agents,1,1,2,99,1,0,1,0,0,0,0,0,0,"[0, 1, 0, 0, 0, 0, 0, 0]",Washington state sues Motel 6 for sharing guests' information with border agents,,Washington state sues Motel 6 for sharing guests' information with border agents,"[0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 1, 0]",0,0,0,1,0,0,1,0
585,2886,53614857-21d8-4f17-97da-c86d6de3f4e1,2018-01-14 23:41:42,http://abcnews.go.com/thisweek/video/trump-inflammatory-comments-hole-countries-oval-office-immigration-52342531,WATCH: Trump inflammatory comments on 's---hole countries' in Oval Office immigration meeting,1,2,6,4,1,0,0,0,1,0,1,0,0,"[0, 0, 0, 1, 0, 1, 0, 0]",WATCH: Trump inflammatory comments on 's---hole countries' in Oval Office immigration meeting,,WATCH: Trump inflammatory comments on 's---hole countries' in Oval Office immigration meeting,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
375,1820,79359805-af9b-4190-a777-7e59de72ec83,2018-01-01 07:05:55,http://www.latimes.com/local/lanow/la-me-border-patrol-attack-20171231-story.html,Border Patrol agent injured when assailant throws grapefruit-size rock - LA Times,1,1,2,99,1,0,1,0,0,0,0,0,0,"[0, 1, 0, 0, 0, 0, 0, 0]",Border Patrol agent injured when assailant throws grapefruit-size rock - LA Times,,Border Patrol agent injured when assailant throws grapefruit-size rock - LA Times,"[0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0]",0,1,0,0,0,0,0,0
276,1358,d2b37927-686a-473c-8e19-f6304a097ace,2018-01-14 20:51:57,https://www.huffingtonpost.com/entry/pope-francis-immigrants_us_5a5ba151e4b03c418966aefc?section=us_black-voices,Pope Francis Says 'Doubts And Fears' Should Not Determine Response To Immigrants,2,99,99,99,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",Pope Francis Says 'Doubts And Fears' Should Not Determine Response To Immigrants,,Pope Francis Says 'Doubts And Fears' Should Not Determine Response To Immigrants,"[0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,1,0,0,0,0
747,3678,5809a8d2-14bb-4c36-87de-aa4706e9aa68,2018-01-13 15:35:08,http://www.foxnews.com/politics/2018/01/13/trump-criticizes-democrats-over-daca-as-bipartisan-immigration-deal-next-week-seems-less-likely.html,Trump criticizes Democrats over DACA as bipartisan immigration deal next week seems less likely,1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]",Trump criticizes Democrats over DACA as bipartisan immigration deal next week seems less likely,,Trump criticizes Democrats over DACA as bipartisan immigration deal next week seems less likely,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
129,644,a37b1bbd-7c23-4cd0-82ad-441b65d632b8,2018-01-12 04:05:35,http://www.breitbart.com/tag/illegal-immigrant-teens/,illegal immigrant teens,2,99,99,99,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",illegal immigrant teens,,illegal immigrant teens,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0
1446,6717,38e493ec-b823-4c86-9f3e-c3007d460823,2018-01-08 16:31:42,https://www.nytimes.com/aponline/2018/01/08/us/ap-us-sexual-misconduct-immigrant-detention.html,Advocates Want #MeToo Debate to Include Immigrant Detention,1,2,8,4,1,0,0,0,1,0,0,0,1,"[0, 0, 0, 1, 0, 0, 0, 1]",Advocates Want #MeToo Debate to Include Immigrant Detention,,Advocates Want #MeToo Debate to Include Immigrant Detention,"[0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,1,0,0,0,0
1516,6994,417c713d-1285-4ed9-a01c-1fd4f62a0184,2018-01-11 02:38:22,http://thehill.com/blogs/blog-briefing-room/news/368429-ann-coulter-torches-trump-for-immigration-meeting,Ann Coulter torches Trump for immigration meeting | TheHill,1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",Ann Coulter torches Trump for immigration meeting | TheHill,,Ann Coulter torches Trump for immigration meeting | TheHill,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
675,3325,9714b06e-238e-461f-b50c-f79eab8fbdf4,2018-01-12 14:42:52,https://www.yahoo.com/news/trump-full-list-racist-comments-004251682.html,"Trump’s Full List of ‘Racist’ Comments About Immigrants, Muslims And Others",1,2,6,4,1,0,0,0,1,0,1,0,0,"[0, 0, 0, 1, 0, 1, 0, 0]","Trump’s Full List of ‘Racist’ Comments About Immigrants, Muslims And Others",,"Trump’s Full List of ‘Racist’ Comments About Immigrants, Muslims And Others","[0, 0, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 1]",0,0,0,1,0,0,0,1
1330,6145,937ab544-51ca-4ef0-b45a-594021188f60,2018-01-03 01:53:07,http://www.latimes.com/sns-bc-us--trump-immigration-20180103-story.html,Immigration official wants pols in sanctuary cities charged,1,2,2,99,1,0,1,0,0,0,0,0,0,"[0, 1, 0, 0, 0, 0, 0, 0]",Immigration official wants pols in sanctuary cities charged,,Immigration official wants pols in sanctuary cities charged,"[0, 1, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0]",0,1,0,0,0,1,0,0
1262,5851,91e7bf2e-8599-4f0b-8487-4071fbd1cfdb,2018-01-11 17:36:46,http://abcnews.go.com/politics/note-trump-gop-fenced-wall-immigration/story?id=52256740,"The Note: Trump and GOP fenced in by wall, immigration - ABC News",1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]","The Note: Trump and GOP fenced in by wall, immigration - ABC News",,"The Note: Trump and GOP fenced in by wall, immigration - ABC News","[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
1085,5150,932ac3b8-5a4a-46b8-a9bf-51ac1dff1cf6,2018-01-12 23:37:42,https://www.politico.com/story/2018/01/12/trump-shithole-remarks-immigration-daca-dreamers-339181,Trump’s ‘shithole’ remarks roil immigration talks,1,2,6,4,1,0,0,0,1,0,1,0,0,"[0, 0, 0, 1, 0, 1, 0, 0]",Trump’s ‘shithole’ remarks roil immigration talks,,Trump’s ‘shithole’ remarks roil immigration talks,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
1775,8217,7980fa52-04b9-44bc-afbb-1ee4e9b49dd0,2018-01-12 14:10:54,http://www.breitbart.com/london/2018/01/12/czech-presidential-election-underway-anti-mass-migration-zeman-favourite/,Czech Presidential Election Underway: Anti-Mass Migration Zeman is Favourite,2,99,99,99,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",Czech Presidential Election Underway: Anti-Mass Migration Zeman is Favourite,,Czech Presidential Election Underway: Anti-Mass Migration Zeman is Favourite,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
100,471,5be55f59-35e0-4488-8d22-3a7cc85f7efd,2018-01-10 22:38:36,http://www.chicagotribune.com/news/opinion/commentary/ct-perspec-wall-border-trump-immigration-wilkinson-0112-20180110-story.html,Commentary: Just let Trump have his border wall,1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",Commentary: Just let Trump have his border wall,,Commentary: Just let Trump have his border wall,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
1103,5236,fcb4e1dc-1a96-4dd8-b58c-819a348e4808,2018-01-12 01:38:00,http://abcnews.go.com/Politics/sources-trump-questions-allowing-immigrants-haiti-africa-hole/story?id=52295756,"Sources: Trump questions allowing immigrants from Haiti, Africa, other ‘s---hole’ countries",1,2,6,4,1,0,0,0,1,0,1,0,0,"[0, 0, 0, 1, 0, 1, 0, 0]","Sources: Trump questions allowing immigrants from Haiti, Africa, other ‘s---hole’ countries",,"Sources: Trump questions allowing immigrants from Haiti, Africa, other ‘s---hole’ countries","[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
966,4614,762f2168-f772-4752-99a9-b84cfc5b3cac,2018-01-06 00:28:59,http://thehill.com/opinion/immigration/367642-looming-salvadoran-immigration-crisis-sits-just-around-the-corner,Looming Salvadoran immigration crisis sits just around the corner | TheHill,1,2,5,99,1,0,0,0,0,1,0,0,0,"[0, 0, 0, 0, 1, 0, 0, 0]",Looming Salvadoran immigration crisis sits just around the corner | TheHill,,Looming Salvadoran immigration crisis sits just around the corner | TheHill,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
793,3851,07d55f59-dc33-4ef9-925f-d516130bca19,2018-01-03 01:15:37,http://www.breitbart.com/news/homeland-chief-wait-and-see-on-citizenship-for-immigrants/,Homeland chief: Wait and see on citizenship for immigrants,1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",Homeland chief: Wait and see on citizenship for immigrants,,Homeland chief: Wait and see on citizenship for immigrants,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
30,132,378d0a19-1ee9-4ba1-a544-3255af7a0a2e,2018-01-10 08:22:51,http://www.latimes.com/nation/sns-bc-us--trump-immigration-legal-challenge-20180110-story.html,Judge blocks Trump decision to end young immigrant program,1,2,7,6,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]",Judge blocks Trump decision to end young immigrant program,,Judge blocks Trump decision to end young immigrant program,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
629,3091,114611bc-3996-46a0-b630-0b1850dc7243,2018-01-08 23:45:50,https://www.yahoo.com/news/south-korean-officials-head-border-talks-north-225304077.html,South Korean officials head to border for talks with North,2,99,99,99,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",South Korean officials head to border for talks with North,,South Korean officials head to border for talks with North,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0
1308,6051,963855f2-15e5-4740-8435-c14f3f47d09d,2018-01-09 09:31:08,https://www.vox.com/vox-sentences/2018/1/8/16866110/vox-sentences-trump-salvadoran-immigrants,"Vox Sentences: Trump’s next target — 260,000 Salvadoran immigrants",1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]","Vox Sentences: Trump’s next target — 260,000 Salvadoran immigrants",,"Vox Sentences: Trump’s next target — 260,000 Salvadoran immigrants","[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
573,2807,ab96a61c-9a87-46a2-a266-5cfdfd5af0fc,2018-01-11 04:38:46,http://www.cnn.com/transcripts/1801/10/cnr.05.html,"Trump Tries Clarifying: Wall Must Be in ""Dreamer"" Deal; Soon: Trump's Joint News Conference With Norway's Leader; Trump Grants GOP- Led Florida Exemption From Drilling Plan; Interview with Congressman Mark Sanford of South Carolina. Aired 2-2:30p ET",1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]","Trump Tries Clarifying: Wall Must Be in ""Dreamer"" Deal; Soon: Trump's Joint News Conference With Norway's Leader; Trump Grants GOP- Led Florida Exemption From Drilling Plan; Interview with Congressman Mark Sanford of South Carolina. Aired 2-2:30p ET",,"Trump Tries Clarifying: Wall Must Be in ""Dreamer"" Deal; Soon: Trump's Joint News Conference With Norway's Leader; Trump Grants GOP- Led Florida Exemption From Drilling Plan; Interview with Congressman Mark Sanford of South Carolina. Aired 2-2:30p ET","[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
1221,5708,f5e1437e-c764-4716-a253-514e808653cc,2018-01-12 02:52:34,http://www.cnn.com/2018/01/11/politics/immigrants-shithole-countries-trump/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=feed%3a+rss%2fcnn_latest+%28rss%3a+cnn+-+most+recent%29,Trump decries immigrants from 'shithole countries' coming to US,1,2,6,4,1,0,0,0,1,0,1,0,0,"[0, 0, 0, 1, 0, 1, 0, 0]",Trump decries immigrants from 'shithole countries' coming to US,,Trump decries immigrants from 'shithole countries' coming to US,"[0, 1, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0]",0,1,0,0,0,1,0,0
1769,8188,fa721024-da0c-4165-a949-4209daf118ec,2018-01-13 00:58:05,https://www.yahoo.com/news/m/866860b1-e475-3986-9e7c-f15cff0dc48a/ss_trump-faces-more-criticism.html,Trump faces more criticism from Congress over remarks on immigration | Jamie Dupree jamiedupree.blog.ajc.com,1,2,6,4,1,0,0,0,1,0,1,0,0,"[0, 0, 0, 1, 0, 1, 0, 0]",Trump faces more criticism from Congress over remarks on immigration | Jamie Dupree jamiedupree.blog.ajc.com,,Trump faces more criticism from Congress over remarks on immigration | Jamie Dupree jamiedupree.blog.ajc.com,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
451,2226,b7e02fb2-ca9f-4094-a44b-5de2f43fa52b,2018-01-11 22:15:54,http://dailycaller.com/2018/01/11/report-trump-upset-that-people-from-shole-countries-immigrate-to-america/,Report: Trump Upset That ‘People From S***hole’ Countries’ Immigrate To America,1,2,6,4,1,0,0,0,1,0,1,0,0,"[0, 0, 0, 1, 0, 1, 0, 0]",Report: Trump Upset That ‘People From S***hole’ Countries’ Immigrate To America,,Report: Trump Upset That ‘People From S***hole’ Countries’ Immigrate To America,"[0, 1, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0]",0,1,0,0,0,1,0,0
1612,7433,c422f826-6b71-4819-a3e1-f7d593859cd4,2018-01-09 09:10:40,http://www.breitbart.com/news/venue-for-korea-talks-is-potential-flash-point-inside-border/,Venue for Korea talks is potential flash point inside border - Breitbart,2,99,99,99,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",Venue for Korea talks is potential flash point inside border - Breitbart,,Venue for Korea talks is potential flash point inside border - Breitbart,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0
1408,6528,624beb8f-d767-494b-bf09-1095758434db,2018-01-13 11:07:44,http://thehill.com/homenews/senate/368854-harris-slams-trump-for-hateful-words-amid-immigration-debate,Harris slams Trump for 'hateful words'amid immigration debate,1,2,6,4,1,0,0,0,1,0,1,0,0,"[0, 0, 0, 1, 0, 1, 0, 0]",Harris slams Trump for 'hateful words'amid immigration debate,,Harris slams Trump for 'hateful words'amid immigration debate,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
1207,5670,97ee3ed9-4228-4851-af09-159ad5499431,2018-01-10 03:22:04,http://thehill.com/homenews/senate/368221-trump-lawmakers-take-key-step-toward-immigration-deal,"Trump, lawmakers take key step toward immigration deal | TheHill",1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]","Trump, lawmakers take key step toward immigration deal | TheHill",,"Trump, lawmakers take key step toward immigration deal | TheHill","[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",0,0,0,0,0,1,1,0
255,1204,0dad6da5-f5b2-45cb-8105-dfdfa0bda038,2018-01-09 01:54:35,http://www.foxnews.com/world/2018/01/08/north-south-korea-begin-rare-talks-at-border-ahead-olympics.html,"North, South Korea begin rare talks at the border ahead of Olympics",2,99,99,99,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","North, South Korea begin rare talks at the border ahead of Olympics",,"North, South Korea begin rare talks at the border ahead of Olympics","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0
125,615,285c4683-baf9-48f3-a47d-fbcb9b96961b,2018-01-11 14:21:34,http://thehill.com/homenews/house/368460-texas-dem-i-dont-know-what-to-believe-about-what-trump-wants-for-wall,Texas Dem: ‘I don’t know what to believe’ about what Trump wants for wall,1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",Texas Dem: ‘I don’t know what to believe’ about what Trump wants for wall,,Texas Dem: ‘I don’t know what to believe’ about what Trump wants for wall,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
1930,187,b08f6bfa-efa2-443f-8b96-e20ab2966938,2018-02-09 21:25:18,http://thehill.com/opinion/immigration/373179-our-immigration-policies-are-harming-children,Our immigration policies are harming children,1,2,7,3,1,0,0,1,0,0,0,1,0,"[0, 0, 1, 0, 0, 0, 1, 0]",Our immigration policies are harming children,,Our immigration policies are harming children,"[0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0]",0,0,1,1,0,0,0,0
252,1196,451bf037-bd02-4089-a3f2-4c7252ba512b,2018-01-05 18:32:07,http://www.breitbart.com/national-security/2017/12/15/china-beefing-military-presence-indian-border/,Report: China Beefing Up Military Presence Near Indian Border,2,99,99,99,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",Report: China Beefing Up Military Presence Near Indian Border,,Report: China Beefing Up Military Presence Near Indian Border,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0
586,2887,59ccf352-1c7c-40de-82b0-ab93033c5289,2018-01-07 22:56:30,http://dailycaller.com/2018/01/06/us-authorities-inspection-of-electronics-at-the-border-surged-in-2017-says-cbp/,The Number Of Electronic Devices Searched At The Border Surged In 2017,1,2,2,99,1,0,1,0,0,0,0,0,0,"[0, 1, 0, 0, 0, 0, 0, 0]",The Number Of Electronic Devices Searched At The Border Surged In 2017,,The Number Of Electronic Devices Searched At The Border Surged In 2017,"[0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,1,0
