ID,ID_original,GUID,Date (GMT),URL,Post_Title,Q1,Q2,Q3_1_og,Q3_2_og,Train,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_clean,text_content,image_data_url,final_input,GPT_41_finetune_1,GPT_41_finetune_1_raw,GPT_41_finetune_1_1,GPT_41_finetune_1_2,GPT_41_finetune_1_3,GPT_41_finetune_1_4,GPT_41_finetune_1_5,GPT_41_finetune_1_6,GPT_41_finetune_1_7,GPT_41_finetune_1_8
1064,5078,10cb0c1f-a716-4e87-9da0-b7fd8de37be3,2018-01-13 20:21:01,https://www.yahoo.com/news/m/1fa193cb-2872-35c8-81f1-13895316e37d/ss_tv-anchor%2C-daughter-of.html,"TV anchor, daughter of Haitian immigrants, delivers epic rebuttal to Trump",1,1,8,6,1,0,0,0,0,0,1,0,1,"[0, 0, 0, 0, 0, 1, 0, 1]","TV anchor, daughter of Haitian immigrants, delivers epic rebuttal to Trump",,"TV anchor, daughter of Haitian immigrants, delivers epic rebuttal to Trump","[0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0]",0,0,0,0,1,1,0,0
466,2283,b744d683-c701-4e9a-b0df-e563a4ec0158,2018-01-12 01:29:42,http://www.newsweek.com/trumps-full-list-racist-comments-about-immigrants-muslims-and-others-779061,"Trump’s Full List of ‘Racist’ Comments About Immigrants, Muslims And Others",1,2,6,4,1,0,0,0,1,0,1,0,0,"[0, 0, 0, 1, 0, 1, 0, 0]","Trump’s Full List of ‘Racist’ Comments About Immigrants, Muslims And Others",,"Trump’s Full List of ‘Racist’ Comments About Immigrants, Muslims And Others","[0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0]",0,0,0,1,0,1,0,0
633,3114,e12c1a2f-c827-4da2-899e-5533d1b92536,2018-01-12 18:49:11,http://www.cnn.com/2018/01/12/health/changing-face-of-america-trnd/index.html,"America is changing. Bigoted slurs, immigration bans and racist rallies can't change that",1,2,5,4,1,0,0,0,1,1,0,0,0,"[0, 0, 0, 1, 1, 0, 0, 0]","America is changing. Bigoted slurs, immigration bans and racist rallies can't change that",,"America is changing. Bigoted slurs, immigration bans and racist rallies can't change that","[0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]",0,0,0,1,1,0,0,0
1870,8591,7b1720be-63cf-4ff9-9cb2-a868d8b23b84,2018-01-09 18:49:31,http://dailycaller.com/2018/01/09/you-need-the-wall-trump-says-funding-for-the-border-wall-is-non-negotiable/,‘You Need The Wall’ — Trump Says Funding For The Border Wall Is Non-Negotiable,1,2,7,6,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]",‘You Need The Wall’ — Trump Says Funding For The Border Wall Is Non-Negotiable,,‘You Need The Wall’ — Trump Says Funding For The Border Wall Is Non-Negotiable,"[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",0,0,0,0,0,1,1,0
432,2136,a8e06b81-d53d-48be-9cb3-1a2f2029e890,2018-01-03 21:56:46,http://www.breitbart.com/big-government/2018/01/03/poll-massive-support-trump-immigration-policies/,Poll: Voters Show Massive Support for Trump Immigration Policies,1,2,8,7,1,0,0,0,0,0,0,1,1,"[0, 0, 0, 0, 0, 0, 1, 1]",Poll: Voters Show Massive Support for Trump Immigration Policies,,Poll: Voters Show Massive Support for Trump Immigration Policies,"[0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 1]",0,0,0,0,0,1,0,1
531,2610,0fc1d4a0-7abf-46a4-90fa-6425a3d1a18a,2018-01-04 22:01:11,https://www.usatoday.com/story/news/politics/2018/01/04/how-author-michael-wolff-got-his-fly-wall-access-trump-white-house/1003673001/,How author Michael Wolff got his 'fly-on-the-wall'access to the Trump White House,1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",How author Michael Wolff got his 'fly-on-the-wall'access to the Trump White House,,How author Michael Wolff got his 'fly-on-the-wall'access to the Trump White House,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
216,1039,349f5d9e-bed2-4df1-b53b-27ba5ec421cf,2018-01-01 01:55:31,http://www.breitbart.com/big-government/2017/12/31/2017-year-end-border-wall-update-build-wall/,2017 Year-End Border Wall Update — ‘Build the Wall’,1,2,99,99,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",2017 Year-End Border Wall Update — ‘Build the Wall’,,2017 Year-End Border Wall Update — ‘Build the Wall’,"[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",0,0,0,0,0,1,1,0
36,150,3838a57c-a4f6-4f11-8563-a4145a343f00,2018-01-09 18:08:18,http://thehill.com/opinion/immigration/367920-building-a-big-beautiful-wall-with-chinese-money,"Building a ‘big, beautiful wall’ with Chinese money?",1,2,1,99,1,1,0,0,0,0,0,0,0,"[1, 0, 0, 0, 0, 0, 0, 0]","Building a ‘big, beautiful wall’ with Chinese money?",,"Building a ‘big, beautiful wall’ with Chinese money?","[0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0]",0,0,0,0,1,1,0,0
662,3276,a211801d-def0-4b31-ad8b-0d44cc65c939,2018-01-12 07:21:19,http://dailycaller.com/2018/01/12/trumps-one-question-blows-up-the-immigration-debate/,Trump’s One Question Blows Up The Immigration Debate,1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",Trump’s One Question Blows Up The Immigration Debate,,Trump’s One Question Blows Up The Immigration Debate,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
256,1220,65a06230-0e90-44b7-947f-f5203cf23762,2018-01-08 02:23:00,https://www.yahoo.com/news/white-house-requests-13bn-build-160223824.html,White House requests $13bn to build Trump's border wall,1,2,1,6,1,1,0,0,0,0,1,0,0,"[1, 0, 0, 0, 0, 1, 0, 0]",White House requests $13bn to build Trump's border wall,,White House requests $13bn to build Trump's border wall,"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 1, 0]",1,0,0,0,0,1,1,0
1331,6152,b0b51b38-9204-4fea-86a4-4fb4df5652a6,2018-01-12 22:10:25,http://dailycaller.com/2018/01/12/dick-durbin-chain-migration-is-a-racist-term-video/,The Term 'Chain Migration' Is Now Racist Because Slaves Were In Chains,1,2,4,5,1,0,0,0,1,1,0,0,0,"[0, 0, 0, 1, 1, 0, 0, 0]",The Term 'Chain Migration' Is Now Racist Because Slaves Were In Chains,,The Term 'Chain Migration' Is Now Racist Because Slaves Were In Chains,"[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]",0,0,0,0,1,0,0,0
1909,23,f3c40cd1-8125-40f6-8ab1-8be5ecf7e5de,2018-02-09 05:44:18,http://www.breitbart.com/big-government/2018/02/08/darling-make-legal-immigration-programs-great-again-by-eliminating-visa-lottery/,Darling: Make Legal Immigration Programs Great Again by Eliminating Visa Lottery - Breitbart,1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]",Darling: Make Legal Immigration Programs Great Again by Eliminating Visa Lottery - Breitbart,,Darling: Make Legal Immigration Programs Great Again by Eliminating Visa Lottery - Breitbart,"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 1, 0]",1,0,0,0,0,1,1,0
1218,5698,6804287d-13ff-4fbd-b3b2-024e73376300,2018-01-09 22:01:19,http://www.latimes.com/ct-trump-dreamers-immigration-deal-20180109-story.html,Trump suggests 2-phase immigration deal for 'Dreamers',1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]",Trump suggests 2-phase immigration deal for 'Dreamers',,Trump suggests 2-phase immigration deal for 'Dreamers',"[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",0,0,0,0,0,1,1,0
1829,8418,52236961-95b2-4070-9e9a-d56082874d49,2018-01-12 15:36:54,https://www.usatoday.com/story/news/politics/2018/01/12/trump-denies-sort-cifer/1027493001/,Trump appears to deny using vulgar term to describe immigrant countries after backlash,1,2,6,4,1,0,0,0,1,0,1,0,0,"[0, 0, 0, 1, 0, 1, 0, 0]",Trump appears to deny using vulgar term to describe immigrant countries after backlash,,Trump appears to deny using vulgar term to describe immigrant countries after backlash,"[0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 1]",0,0,0,0,0,1,0,1
222,1063,7d3c0ea4-e80b-4c7d-add9-62dc9c5ded11,2018-01-12 02:54:11,http://thehill.com/blogs/blog-briefing-room/news/368628-blumenthal-trumps-s-hole-comment-is-racism-masquerading-poorly,Blumenthal: Trump's 's---hole' comment is 'racism masquerading poorly as immigration policy' | TheHill,1,2,6,4,1,0,0,0,1,0,1,0,0,"[0, 0, 0, 1, 0, 1, 0, 0]",Blumenthal: Trump's 's---hole' comment is 'racism masquerading poorly as immigration policy' | TheHill,,Blumenthal: Trump's 's---hole' comment is 'racism masquerading poorly as immigration policy' | TheHill,"[0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0]",0,0,0,1,0,1,0,0
1178,5557,677704db-988b-4aae-b6b5-b19e14c1a565,2018-01-04 17:54:26,https://www.usatoday.com/story/news/politics/2018/01/04/trump-daca-terrific-if-democrats-back-his-own-immigration-plans/1003768001/,Trump: DACA will be 'terrific'if Democrats back his own immigration plans,1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]",Trump: DACA will be 'terrific'if Democrats back his own immigration plans,,Trump: DACA will be 'terrific'if Democrats back his own immigration plans,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
628,3090,18ecebc4-3f1c-4ce7-8d63-554438f7fc51,2018-01-12 01:35:34,http://www.motherjones.com/politics/2018/01/donald-trump-complained-too-many-immigrants-come-from-shithole-countries-reports-say/,"Donald Trump Complained Too Many Immigrants Come From 'Shithole' Countries, Reports Say",1,2,6,4,1,0,0,0,1,0,1,0,0,"[0, 0, 0, 1, 0, 1, 0, 0]","Donald Trump Complained Too Many Immigrants Come From 'Shithole' Countries, Reports Say",,"Donald Trump Complained Too Many Immigrants Come From 'Shithole' Countries, Reports Say","[0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0]",0,0,0,1,0,1,0,0
1229,5731,f0dd0a06-ad57-47bb-b962-89c78f3f4a78,2018-01-02 16:53:11,https://www.newsmax.com/newsfront/brandon-judd-border-patrol-donald-trump-tweet/2018/01/02/id/834664/,"Trump to Border Patrol Prez: Bringing in More Agents, Building the Wall",1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]","Trump to Border Patrol Prez: Bringing in More Agents, Building the Wall",,"Trump to Border Patrol Prez: Bringing in More Agents, Building the Wall","[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",0,0,0,0,0,1,1,0
757,3718,3196db29-5cff-407f-af77-afb623cd14c9,2018-01-08 22:49:42,http://thehill.com/opinion/immigration/367982-ending-protected-immigration-status-for-salvadorans-will-exacerbate,Ending Salvadorans' protected immigration status will exacerbate problems Trump aimed to fix,1,2,7,99,1,0,0,0,0,0,0,1,0,"[0, 0, 0, 0, 0, 0, 1, 0]",Ending Salvadorans' protected immigration status will exacerbate problems Trump aimed to fix,,Ending Salvadorans' protected immigration status will exacerbate problems Trump aimed to fix,"[1, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0]",1,0,0,1,0,0,0,0
958,4582,96139806-dfbf-4d4a-b0e7-903ba1d44e9d,2018-01-11 13:04:08,https://www.huffingtonpost.com/entry/us-warns-tourists-mexico-travel_us_5a573d82e4b0a300f9060f59,U.S. Warns Tourists Against Mexico Travel While Feds Threaten To Send Immigrants Back,1,2,2,99,1,0,1,0,0,0,0,0,0,"[0, 1, 0, 0, 0, 0, 0, 0]",U.S. Warns Tourists Against Mexico Travel While Feds Threaten To Send Immigrants Back,,U.S. Warns Tourists Against Mexico Travel While Feds Threaten To Send Immigrants Back,"[0, 1, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0]",0,1,0,0,0,1,0,0
831,4028,38dc1c2d-8e64-400b-900b-23c6b073b19e,2018-01-10 22:32:56,http://www.breitbart.com/news/immigration-agents-descend-on-7-eleven-stores-in-17-states/,Immigration agents descend on 7-Eleven stores in 17 states,1,2,2,1,1,1,1,0,0,0,0,0,0,"[1, 1, 0, 0, 0, 0, 0, 0]",Immigration agents descend on 7-Eleven stores in 17 states,,Immigration agents descend on 7-Eleven stores in 17 states,"[0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0]",0,1,0,0,0,0,0,0
311,1547,428f59d5-a545-417a-a43e-51dc99fd9503,2018-01-09 02:28:00,https://www.wsj.com/articles/u-s-to-end-protections-for-some-salvadoran-immigrants-1515426261,U.S. to End Protections for Some Salvadoran Immigrants - WSJ,1,2,7,99,1,0,0,0,0,0,0,1,0,"[0, 0, 0, 0, 0, 0, 1, 0]",U.S. to End Protections for Some Salvadoran Immigrants - WSJ,,U.S. to End Protections for Some Salvadoran Immigrants - WSJ,"[0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 1, 0]",0,0,0,1,0,0,1,0
930,4469,d1ebb203-a599-4b57-b300-716504049f5a,2018-01-05 04:24:48,http://thehill.com/homenews/administration/367469-trump-expected-to-call-for-immigration-meeting-amid-stalled-talks,Trump expected to call for immigration meeting amid stalled talks | TheHill,1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",Trump expected to call for immigration meeting amid stalled talks | TheHill,,Trump expected to call for immigration meeting amid stalled talks | TheHill,"[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",0,0,0,0,0,1,1,0
1470,6813,9e7d9f5e-5a4e-4641-b925-a8ed0ce6a53a,2018-01-11 02:21:41,http://thehill.com/homenews/administration/368362-trump-says-he-will-not-sign-immigration-deal-without-wall-funding,Trump says he will not sign immigration deal without wall funding | TheHill,1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]",Trump says he will not sign immigration deal without wall funding | TheHill,,Trump says he will not sign immigration deal without wall funding | TheHill,"[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",0,0,0,0,0,1,1,0
1639,7581,0bbc2df7-3b38-45e9-a6b8-8419a8865bec,2018-01-11 00:21:54,http://www.breitbart.com/texas/2018/01/10/family-unit-border-crossings-625-percent-april-2017-low/?utm_source=feedburner&utm_medium=feed&utm_campaign=feed%3a+breitbart+%28breitbart+news%29,Family Unit Border Crossings Up 625 Percent from April 2017 Low,1,1,3,99,1,0,0,1,0,0,0,0,0,"[0, 0, 1, 0, 0, 0, 0, 0]",Family Unit Border Crossings Up 625 Percent from April 2017 Low,,Family Unit Border Crossings Up 625 Percent from April 2017 Low,"[0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0
1204,5650,57899ec9-50dc-4dd4-9b26-26d8f87ac857,2018-01-10 08:29:46,http://www.breitbart.com/big-government/2018/01/09/can-build-wall-one-year-trump-tells-dhs-never-mention-7-years-border-wall-timeframe/?utm_source=feedburner&utm_medium=feed&utm_campaign=feed%3a+breitbart+%28breitbart+news%29,‘We Can Build The Wall in One Year:’ Trump Tells DHS Never to ‘Mention 7 Years Again’ for Border Wall Timeframe,1,2,7,6,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]",‘We Can Build The Wall in One Year:’ Trump Tells DHS Never to ‘Mention 7 Years Again’ for Border Wall Timeframe,,‘We Can Build The Wall in One Year:’ Trump Tells DHS Never to ‘Mention 7 Years Again’ for Border Wall Timeframe,"[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",0,0,0,0,0,1,1,0
142,690,9f0c21d6-500b-4760-b1e7-3d7705955f78,2018-01-09 01:09:21,http://www.latimes.com/sns-bc-us--congress-pelosi-20180108-story.html,"Pelosi is optimistic about agreement on budget, immigration",1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]","Pelosi is optimistic about agreement on budget, immigration",,"Pelosi is optimistic about agreement on budget, immigration","[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",0,0,0,0,0,1,1,0
733,3611,deac9696-e1ff-4b3a-9772-5879e2464b33,2018-01-08 17:15:19,http://thehill.com/opinion/national-security/367839-immigration-reform-an-army-recruitment-opportunity,Immigration reform: An Army recruitment opportunity,1,2,5,99,1,0,0,0,0,1,0,0,0,"[0, 0, 0, 0, 1, 0, 0, 0]",Immigration reform: An Army recruitment opportunity,,Immigration reform: An Army recruitment opportunity,"[1, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0]",1,0,0,0,0,1,0,0
1146,5422,4462da0b-319c-4c14-9178-8c065525bdff,2018-01-12 00:24:03,http://thehill.com/blogs/blog-briefing-room/news/368628-blumenthal-trumps-s-hole-comment-is-racism-masquerading-poorly,Blumenthal: Trump’s s——hole comment is ‘racism masquerading poorly as immigration policy’,1,2,6,4,1,0,0,0,1,0,1,0,0,"[0, 0, 0, 1, 0, 1, 0, 0]",Blumenthal: Trump’s s——hole comment is ‘racism masquerading poorly as immigration policy’,,Blumenthal: Trump’s s——hole comment is ‘racism masquerading poorly as immigration policy’,"[0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0]",0,0,0,1,0,1,0,0
1221,5708,f5e1437e-c764-4716-a253-514e808653cc,2018-01-12 02:52:34,http://www.cnn.com/2018/01/11/politics/immigrants-shithole-countries-trump/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=feed%3a+rss%2fcnn_latest+%28rss%3a+cnn+-+most+recent%29,Trump decries immigrants from 'shithole countries' coming to US,1,2,6,4,1,0,0,0,1,0,1,0,0,"[0, 0, 0, 1, 0, 1, 0, 0]",Trump decries immigrants from 'shithole countries' coming to US,,Trump decries immigrants from 'shithole countries' coming to US,"[0, 0, 0, 1, 1, 1, 0, 1]","[0, 0, 0, 1, 1, 1, 0, 1]",0,0,0,1,1,1,0,1
1353,6259,f712b45f-8f35-45d3-a981-ae8c1cc41ec9,2018-01-11 01:43:12,https://www.nytimes.com/2018/01/10/us/politics/house-republicans-hard-line-immigration-trump.html,House Republicans’ Hard-line Immigration Stand Clashes with Trump Overture,1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",House Republicans’ Hard-line Immigration Stand Clashes with Trump Overture,,House Republicans’ Hard-line Immigration Stand Clashes with Trump Overture,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
1137,5368,6c9946b1-17f5-4ea8-9509-aca3e89b395a,2018-01-03 18:45:09,http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-gop-gubernatorial-candidate-travis-allen-1514953311-htmlstory.html,GOP candidate for governor Travis Allen calls on Trump administration to sue California over immigration policy - LA Times,1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",GOP candidate for governor Travis Allen calls on Trump administration to sue California over immigration policy - LA Times,,GOP candidate for governor Travis Allen calls on Trump administration to sue California over immigration policy - LA Times,"[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",0,0,0,0,0,1,1,0
